Dest_PC,Dest_City,Branch_PC,Branch_City,Branch,Dest,Response,ResponseMod,Distance,Duration
55758,Hottenbach,36214,Nentershausen,36214%2C%20Nentershausen,55758%2C%20Hottenbach,"{
   ""destination_addresses"" : [ ""55758 Hottenbach, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""308 km"",
                  ""value"" : 308119
               },
               ""duration"" : {
                  ""text"" : ""3 hours 26 mins"",
                  ""value"" : 12346
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['55758 Hottenbach, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '308 km', 'value': 308119}, 'duration': {'text': '3 hours 26 mins', 'value': 12346}, 'status': 'OK'}]}], 'status': 'OK'}",308 km,3 hours 26 mins
37318,Eichstruth,36214,Nentershausen,36214%2C%20Nentershausen,37318%2C%20Eichstruth,"{
   ""destination_addresses"" : [ ""37318 Eichstruth, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""47.6 km"",
                  ""value"" : 47570
               },
               ""duration"" : {
                  ""text"" : ""50 mins"",
                  ""value"" : 3019
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37318 Eichstruth, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '47.6 km', 'value': 47570}, 'duration': {'text': '50 mins', 'value': 3019}, 'status': 'OK'}]}], 'status': 'OK'}",47.6 km,50 mins
54533,Bettenfeld,36214,Nentershausen,36214%2C%20Nentershausen,54533%2C%20Bettenfeld,"{
   ""destination_addresses"" : [ ""54533 Bettenfeld, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""307 km"",
                  ""value"" : 306930
               },
               ""duration"" : {
                  ""text"" : ""3 hours 25 mins"",
                  ""value"" : 12302
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['54533 Bettenfeld, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '307 km', 'value': 306930}, 'duration': {'text': '3 hours 25 mins', 'value': 12302}, 'status': 'OK'}]}], 'status': 'OK'}",307 km,3 hours 25 mins
57258,Freudenberg,36214,Nentershausen,36214%2C%20Nentershausen,57258%2C%20Freudenberg,"{
   ""destination_addresses"" : [ ""57258 Freudenberg, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""209 km"",
                  ""value"" : 208604
               },
               ""duration"" : {
                  ""text"" : ""2 hours 25 mins"",
                  ""value"" : 8723
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['57258 Freudenberg, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '209 km', 'value': 208604}, 'duration': {'text': '2 hours 25 mins', 'value': 8723}, 'status': 'OK'}]}], 'status': 'OK'}",209 km,2 hours 25 mins
37339,Gernrode,36214,Nentershausen,36214%2C%20Nentershausen,37339%2C%20Gernrode,"{
   ""destination_addresses"" : [ ""Gernrode, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""70.9 km"",
                  ""value"" : 70860
               },
               ""duration"" : {
                  ""text"" : ""1 hour 13 mins"",
                  ""value"" : 4389
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Gernrode, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '70.9 km', 'value': 70860}, 'duration': {'text': '1 hour 13 mins', 'value': 4389}, 'status': 'OK'}]}], 'status': 'OK'}",70.9 km,1 hour 13 mins
38154,Tetzelstein,36214,Nentershausen,36214%2C%20Nentershausen,38154%2C%20Tetzelstein,"{
   ""destination_addresses"" : [ ""Tetzelstein, 38154, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""200 km"",
                  ""value"" : 200314
               },
               ""duration"" : {
                  ""text"" : ""2 hours 28 mins"",
                  ""value"" : 8881
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Tetzelstein, 38154, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '200 km', 'value': 200314}, 'duration': {'text': '2 hours 28 mins', 'value': 8881}, 'status': 'OK'}]}], 'status': 'OK'}",200 km,2 hours 28 mins
55767,Rötsweiler-Nockenthal,36214,Nentershausen,36214%2C%20Nentershausen,55767%2C%20Rötsweiler-Nockenthal,"{
   ""destination_addresses"" : [ ""55767 R\u00f6tsweiler-Nockenthal, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""308 km"",
                  ""value"" : 308484
               },
               ""duration"" : {
                  ""text"" : ""3 hours 31 mins"",
                  ""value"" : 12668
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['55767 Rötsweiler-Nockenthal, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '308 km', 'value': 308484}, 'duration': {'text': '3 hours 31 mins', 'value': 12668}, 'status': 'OK'}]}], 'status': 'OK'}",308 km,3 hours 31 mins
54673,Rodershausen,36214,Nentershausen,36214%2C%20Nentershausen,54673%2C%20Rodershausen,"{
   ""destination_addresses"" : [ ""54673 Rodershausen, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""387 km"",
                  ""value"" : 387033
               },
               ""duration"" : {
                  ""text"" : ""4 hours 21 mins"",
                  ""value"" : 15680
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['54673 Rodershausen, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '387 km', 'value': 387033}, 'duration': {'text': '4 hours 21 mins', 'value': 15680}, 'status': 'OK'}]}], 'status': 'OK'}",387 km,4 hours 21 mins
56462,Hilpischmühle,36214,Nentershausen,36214%2C%20Nentershausen,56462%2C%20Hilpischmühle,"{
   ""destination_addresses"" : [ ""56462 H\u00f6hn, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""189 km"",
                  ""value"" : 189154
               },
               ""duration"" : {
                  ""text"" : ""2 hours 15 mins"",
                  ""value"" : 8091
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56462 Höhn, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '189 km', 'value': 189154}, 'duration': {'text': '2 hours 15 mins', 'value': 8091}, 'status': 'OK'}]}], 'status': 'OK'}",189 km,2 hours 15 mins
54636,Dockendorf,36214,Nentershausen,36214%2C%20Nentershausen,54636%2C%20Dockendorf,"{
   ""destination_addresses"" : [ ""54636 Dockendorf, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""364 km"",
                  ""value"" : 363638
               },
               ""duration"" : {
                  ""text"" : ""3 hours 56 mins"",
                  ""value"" : 14141
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['54636 Dockendorf, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '364 km', 'value': 363638}, 'duration': {'text': '3 hours 56 mins', 'value': 14141}, 'status': 'OK'}]}], 'status': 'OK'}",364 km,3 hours 56 mins
54675,Niederraden,36214,Nentershausen,36214%2C%20Nentershausen,54675%2C%20Niederraden,"{
   ""destination_addresses"" : [ ""Niederraden, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""369 km"",
                  ""value"" : 369480
               },
               ""duration"" : {
                  ""text"" : ""4 hours 7 mins"",
                  ""value"" : 14817
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Niederraden, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '369 km', 'value': 369480}, 'duration': {'text': '4 hours 7 mins', 'value': 14817}, 'status': 'OK'}]}], 'status': 'OK'}",369 km,4 hours 7 mins
38382,Beierstedt,36214,Nentershausen,36214%2C%20Nentershausen,38382%2C%20Beierstedt,"{
   ""destination_addresses"" : [ ""38382 Beierstedt, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""213 km"",
                  ""value"" : 213180
               },
               ""duration"" : {
                  ""text"" : ""2 hours 39 mins"",
                  ""value"" : 9545
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['38382 Beierstedt, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '213 km', 'value': 213180}, 'duration': {'text': '2 hours 39 mins', 'value': 9545}, 'status': 'OK'}]}], 'status': 'OK'}",213 km,2 hours 39 mins
48249,Dülmen,36214,Nentershausen,36214%2C%20Nentershausen,48249%2C%20Dülmen,"{
   ""destination_addresses"" : [ ""48249 D\u00fclmen, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""281 km"",
                  ""value"" : 281256
               },
               ""duration"" : {
                  ""text"" : ""3 hours 10 mins"",
                  ""value"" : 11425
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['48249 Dülmen, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '281 km', 'value': 281256}, 'duration': {'text': '3 hours 10 mins', 'value': 11425}, 'status': 'OK'}]}], 'status': 'OK'}",281 km,3 hours 10 mins
56357,Lollschied,36214,Nentershausen,36214%2C%20Nentershausen,56357%2C%20Lollschied,"{
   ""destination_addresses"" : [ ""Lollschied, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""212 km"",
                  ""value"" : 211918
               },
               ""duration"" : {
                  ""text"" : ""2 hours 40 mins"",
                  ""value"" : 9579
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Lollschied, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '212 km', 'value': 211918}, 'duration': {'text': '2 hours 40 mins', 'value': 9579}, 'status': 'OK'}]}], 'status': 'OK'}",212 km,2 hours 40 mins
54673,Sevenig,36214,Nentershausen,36214%2C%20Nentershausen,54673%2C%20Sevenig,"{
   ""destination_addresses"" : [ ""54673 Sevenig bei Neuerburg, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""385 km"",
                  ""value"" : 384591
               },
               ""duration"" : {
                  ""text"" : ""4 hours 19 mins"",
                  ""value"" : 15530
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['54673 Sevenig bei Neuerburg, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '385 km', 'value': 384591}, 'duration': {'text': '4 hours 19 mins', 'value': 15530}, 'status': 'OK'}]}], 'status': 'OK'}",385 km,4 hours 19 mins
51105,Köln,36214,Nentershausen,36214%2C%20Nentershausen,51105%2C%20Köln,"{
   ""destination_addresses"" : [ ""51105 Cologne, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""287 km"",
                  ""value"" : 286679
               },
               ""duration"" : {
                  ""text"" : ""3 hours 10 mins"",
                  ""value"" : 11417
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['51105 Cologne, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '287 km', 'value': 286679}, 'duration': {'text': '3 hours 10 mins', 'value': 11417}, 'status': 'OK'}]}], 'status': 'OK'}",287 km,3 hours 10 mins
31079,Westfeld,36214,Nentershausen,36214%2C%20Nentershausen,31079%2C%20Westfeld,"{
   ""destination_addresses"" : [ ""Westfeld, 31079 Sibbesse, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""154 km"",
                  ""value"" : 154262
               },
               ""duration"" : {
                  ""text"" : ""2 hours 3 mins"",
                  ""value"" : 7376
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Westfeld, 31079 Sibbesse, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '154 km', 'value': 154262}, 'duration': {'text': '2 hours 3 mins', 'value': 7376}, 'status': 'OK'}]}], 'status': 'OK'}",154 km,2 hours 3 mins
56459,Stahlhofen,36214,Nentershausen,36214%2C%20Nentershausen,56459%2C%20Stahlhofen,"{
   ""destination_addresses"" : [ ""56412 Stahlhofen, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""201 km"",
                  ""value"" : 200672
               },
               ""duration"" : {
                  ""text"" : ""2 hours 21 mins"",
                  ""value"" : 8487
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56412 Stahlhofen, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '201 km', 'value': 200672}, 'duration': {'text': '2 hours 21 mins', 'value': 8487}, 'status': 'OK'}]}], 'status': 'OK'}",201 km,2 hours 21 mins
38554,Weyhausen,36214,Nentershausen,36214%2C%20Nentershausen,38554%2C%20Weyhausen,"{
   ""destination_addresses"" : [ ""38554 Weyhausen, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""214 km"",
                  ""value"" : 214257
               },
               ""duration"" : {
                  ""text"" : ""2 hours 30 mins"",
                  ""value"" : 8979
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['38554 Weyhausen, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '214 km', 'value': 214257}, 'duration': {'text': '2 hours 30 mins', 'value': 8979}, 'status': 'OK'}]}], 'status': 'OK'}",214 km,2 hours 30 mins
56299,Achterspannerhof,36214,Nentershausen,36214%2C%20Nentershausen,56299%2C%20Achterspannerhof,"{
   ""destination_addresses"" : [ ""Achterspannerhof 1, 56330 Kobern-Gondorf, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""242 km"",
                  ""value"" : 241553
               },
               ""duration"" : {
                  ""text"" : ""2 hours 42 mins"",
                  ""value"" : 9694
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Achterspannerhof 1, 56330 Kobern-Gondorf, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '242 km', 'value': 241553}, 'duration': {'text': '2 hours 42 mins', 'value': 9694}, 'status': 'OK'}]}], 'status': 'OK'}",242 km,2 hours 42 mins
56321,Brey,36214,Nentershausen,36214%2C%20Nentershausen,56321%2C%20Brey,"{
   ""destination_addresses"" : [ ""56321 Brey, Germany"" ],
   ""origin_addresses"" : [ ""36214 Nentershausen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""238 km"",
                  ""value"" : 237520
               },
               ""duration"" : {
                  ""text"" : ""2 hours 47 mins"",
                  ""value"" : 10046
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56321 Brey, Germany'], 'origin_addresses': ['36214 Nentershausen, Germany'], 'rows': [{'elements': [{'distance': {'text': '238 km', 'value': 237520}, 'duration': {'text': '2 hours 47 mins', 'value': 10046}, 'status': 'OK'}]}], 'status': 'OK'}",238 km,2 hours 47 mins
