BusinessTripId,StartDate,EndDate,EmployeeId,PostalCode,City,OvernightStays,HotelCosts,TravelCosts,Currency,StrategicRegionId
BT103055,1996-01-21,1996-01-24,E107590,36318,Schwalmtal,3,0.0,83.83,EUR,GER100003
BT103061,1996-01-22,1996-01-26,E107601,36251,Bad Hersfeld,4,0.0,137.51,EUR,GER100003
BT103063,1996-01-22,1996-01-27,E107601,36266,Heringen,5,0.0,132.77,EUR,GER100003
BT103067,1996-01-22,1996-01-27,E107590,36289,Friedewald,5,0.0,143.72,EUR,GER100003
BT103071,1996-01-23,1996-01-27,E107590,36284,Hohenroda,4,0.0,137.83,EUR,GER100003
BT103072,1996-01-24,1996-01-28,E107590,36284,Hohenroda,4,0.0,97.14,EUR,GER100003
BT103077,1996-01-24,1996-01-26,E107590,36304,Alsfeld,2,0.0,59.84,EUR,GER100003
BT103078,1996-01-24,1996-01-25,E107590,36318,Schwalmtal,1,0.0,28.06,EUR,GER100003
BT103084,1996-01-24,1996-01-28,E107590,36318,Schwalmtal,4,0.0,98.23,EUR,GER100003
BT103089,1996-01-25,1996-01-27,E107601,36219,Cornberg,2,0.0,56.85,EUR,GER100003
BT103093,1996-01-25,1996-01-25,E107601,36219,Cornberg,0,0.0,0.0,EUR,GER100003
BT103099,1996-01-25,1996-01-30,E107601,36266,Heringen,5,0.0,158.47,EUR,GER100003
BT103104,1996-01-25,1996-01-26,E107601,36266,Heringen,1,0.0,24.57,EUR,GER100003
BT103112,1996-01-26,1996-01-26,E107601,36269,Philippsthal,0,0.0,0.0,EUR,GER100003
BT103116,1996-01-28,1996-01-31,E107590,36287,Breitenbach,3,0.0,92.82,EUR,GER100003
BT103119,1996-01-30,1996-02-03,E107590,36287,Breitenbach,4,0.0,128.44,EUR,GER100003
BT103126,1996-01-31,1996-02-01,E107590,36289,Friedewald,1,0.0,35.97,EUR,GER100003
BT103134,1996-02-01,1996-02-01,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103139,1996-02-03,1996-02-06,E107601,36269,Philippsthal,3,0.0,74.85,EUR,GER100003
BT103140,1996-02-03,1996-02-07,E107601,36272,Niederaula,4,0.0,135.65,EUR,GER100003
BT103143,1996-02-03,1996-02-05,E107590,36284,Hohenroda,2,0.0,60.14,EUR,GER100003
BT103146,1996-02-05,1996-02-08,E107601,36251,Bad Hersfeld,3,0.0,98.69,EUR,GER100003
BT103150,1996-02-07,1996-02-09,E107601,36251,Bad Hersfeld,2,0.0,67.48,EUR,GER100003
BT103157,1996-02-07,1996-02-08,E107601,36266,Heringen,1,0.0,24.48,EUR,GER100003
BT103165,1996-02-10,1996-02-11,E107590,36284,Hohenroda,1,0.0,33.29,EUR,GER100003
BT103169,1996-02-12,1996-02-17,E107590,36286,Neuenstein,5,0.0,138.08,EUR,GER100003
BT103177,1996-02-14,1996-02-18,E107601,36251,Bad Hersfeld,4,0.0,102.76,EUR,GER100003
BT103179,1996-02-14,1996-02-17,E107590,36304,Alsfeld,3,0.0,75.52,EUR,GER100003
BT103187,1996-02-14,1996-02-16,E107590,36284,Hohenroda,2,0.0,56.98,EUR,GER100003
BT103188,1996-02-15,1996-02-20,E107601,36272,Niederaula,5,0.0,121.34,EUR,GER100003
BT103189,1996-02-15,1996-02-20,E107590,36287,Breitenbach,5,0.0,120.98,EUR,GER100003
BT103197,1996-02-15,1996-02-17,E107590,36289,Friedewald,2,0.0,71.38,EUR,GER100003
BT103199,1996-02-15,1996-02-15,E107590,36286,Neuenstein,0,0.0,0.0,EUR,GER100003
BT103206,1996-02-16,1996-02-16,E107601,36251,Bad Hersfeld,0,0.0,0.0,EUR,GER100003
BT103208,1996-02-16,1996-02-18,E107590,36304,Alsfeld,2,0.0,48.34,EUR,GER100003
BT103215,1996-02-20,1996-02-23,E107601,36266,Heringen,3,0.0,101.0,EUR,GER100003
BT103218,1996-02-21,1996-02-23,E107590,36284,Hohenroda,2,0.0,66.03,EUR,GER100003
BT103219,1996-02-23,1996-02-23,E107601,36269,Philippsthal,0,0.0,0.0,EUR,GER100003
BT103227,1996-02-23,1996-02-24,E107601,36272,Niederaula,1,0.0,31.8,EUR,GER100003
BT103233,1996-02-25,1996-03-01,E107601,36272,Niederaula,5,0.0,148.98,EUR,GER100003
BT103237,1996-02-25,1996-03-01,E107590,36284,Hohenroda,5,0.0,125.22,EUR,GER100003
BT103242,1996-02-26,1996-03-01,E107601,36269,Philippsthal,4,0.0,102.23,EUR,GER100003
BT103249,1996-02-27,1996-03-01,E107601,36251,Bad Hersfeld,3,0.0,93.43,EUR,GER100003
BT103256,1996-02-27,1996-02-27,E107601,36219,Cornberg,0,0.0,0.0,EUR,GER100003
BT103262,1996-02-27,1996-03-03,E107590,36287,Breitenbach,5,0.0,145.14,EUR,GER100003
BT103269,1996-02-28,1996-02-28,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103273,1996-03-01,1996-03-03,E107590,36289,Friedewald,2,0.0,71.45,EUR,GER100003
BT103278,1996-03-01,1996-03-03,E107590,36286,Neuenstein,2,0.0,52.08,EUR,GER100003
BT103286,1996-03-05,1996-03-08,E107590,36304,Alsfeld,3,0.0,94.4,EUR,GER100003
BT103292,1996-03-09,1996-03-10,E107601,36251,Bad Hersfeld,1,0.0,35.91,EUR,GER100003
BT103294,1996-03-09,1996-03-09,E107601,36269,Philippsthal,0,0.0,0.0,EUR,GER100003
BT103297,1996-03-09,1996-03-14,E107590,36304,Alsfeld,5,0.0,137.44,EUR,GER100003
BT103301,1996-03-10,1996-03-10,E107590,36318,Schwalmtal,0,0.0,0.0,EUR,GER100003
BT103302,1996-03-13,1996-03-15,E107590,36289,Friedewald,2,0.0,64.37,EUR,GER100003
BT103307,1996-03-13,1996-03-14,E107590,36284,Hohenroda,1,0.0,27.4,EUR,GER100003
BT103311,1996-03-14,1996-03-18,E107601,36269,Philippsthal,4,0.0,108.59,EUR,GER100003
BT103314,1996-03-15,1996-03-15,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103321,1996-03-16,1996-03-19,E107601,36219,Cornberg,3,0.0,103.96,EUR,GER100003
BT103327,1996-03-17,1996-03-22,E107601,36251,Bad Hersfeld,5,0.0,131.6,EUR,GER100003
BT103330,1996-03-17,1996-03-22,E107590,36289,Friedewald,5,0.0,157.03,EUR,GER100003
BT103335,1996-03-22,1996-03-26,E107590,36289,Friedewald,4,0.0,114.34,EUR,GER100003
BT103343,1996-03-22,1996-03-23,E107590,36286,Neuenstein,1,0.0,28.49,EUR,GER100003
BT103347,1996-03-24,1996-03-25,E107601,36266,Heringen,1,0.0,31.4,EUR,GER100003
BT103352,1996-03-25,1996-03-27,E107590,36286,Neuenstein,2,0.0,53.7,EUR,GER100003
BT103358,1996-03-25,1996-03-25,E107590,36289,Friedewald,0,0.0,0.0,EUR,GER100003
BT103363,1996-03-26,1996-03-29,E107601,36269,Philippsthal,3,0.0,78.83,EUR,GER100003
BT103367,1996-03-26,1996-03-29,E107601,36219,Cornberg,3,0.0,75.15,EUR,GER100003
BT103368,1996-03-27,1996-03-27,E107590,36287,Breitenbach,0,0.0,0.0,EUR,GER100003
BT103376,1996-03-27,1996-03-28,E107590,36284,Hohenroda,1,0.0,30.51,EUR,GER100003
BT103377,1996-03-28,1996-03-28,E107601,36266,Heringen,0,0.0,0.0,EUR,GER100003
BT103383,1996-03-28,1996-03-29,E107601,36251,Bad Hersfeld,1,0.0,35.78,EUR,GER100003
BT103387,1996-03-29,1996-03-31,E107601,36217,Ronshausen,2,0.0,62.58,EUR,GER100003
BT103390,1996-03-29,1996-03-31,E107590,36287,Breitenbach,2,0.0,60.24,EUR,GER100003
BT103395,1996-03-31,1996-04-04,E107601,36272,Niederaula,4,0.0,129.96,EUR,GER100003
BT103399,1996-03-31,1996-04-01,E107601,36266,Heringen,1,0.0,28.44,EUR,GER100003
BT103403,1996-03-31,1996-04-01,E107590,36284,Hohenroda,1,0.0,24.32,EUR,GER100003
BT103411,1996-03-31,1996-04-04,E107590,36286,Neuenstein,4,0.0,142.55,EUR,GER100003
BT103414,1996-04-02,1996-04-06,E107601,36269,Philippsthal,4,0.0,96.57,EUR,GER100003
BT103418,1996-04-02,1996-04-05,E107590,36304,Alsfeld,3,0.0,98.55,EUR,GER100003
BT103423,1996-04-02,1996-04-07,E107590,36318,Schwalmtal,5,0.0,166.15,EUR,GER100003
BT103424,1996-04-03,1996-04-05,E107601,36266,Heringen,2,0.0,59.77,EUR,GER100003
BT103429,1996-04-04,1996-04-04,E107590,36287,Breitenbach,0,0.0,0.0,EUR,GER100003
BT103436,1996-04-05,1996-04-05,E107601,36219,Cornberg,0,0.0,0.0,EUR,GER100003
BT103444,1996-04-06,1996-04-09,E107590,36318,Schwalmtal,3,0.0,94.08,EUR,GER100003
BT103447,1996-04-06,1996-04-07,E107590,36304,Alsfeld,1,0.0,26.93,EUR,GER100003
BT103451,1996-04-07,1996-04-11,E107590,36289,Friedewald,4,0.0,136.83,EUR,GER100003
BT103454,1996-04-08,1996-04-08,E107601,36269,Philippsthal,0,0.0,0.0,EUR,GER100003
BT103458,1996-04-09,1996-04-10,E107601,36217,Ronshausen,1,0.0,28.52,EUR,GER100003
BT103465,1996-04-10,1996-04-13,E107601,36269,Philippsthal,3,0.0,87.3,EUR,GER100003
BT103467,1996-04-10,1996-04-12,E107590,36284,Hohenroda,2,0.0,63.55,EUR,GER100003
BT103469,1996-04-13,1996-04-17,E107601,36219,Cornberg,4,0.0,112.69,EUR,GER100003
BT103473,1996-04-13,1996-04-14,E107601,36219,Cornberg,1,0.0,35.92,EUR,GER100003
BT103479,1996-04-14,1996-04-16,E107601,36266,Heringen,2,0.0,58.0,EUR,GER100003
BT103484,1996-04-14,1996-04-17,E107601,36269,Philippsthal,3,0.0,82.39,EUR,GER100003
BT103492,1996-04-14,1996-04-14,E107590,36287,Breitenbach,0,0.0,0.0,EUR,GER100003
BT103500,1996-04-15,1996-04-19,E107601,36272,Niederaula,4,0.0,111.72,EUR,GER100003
BT103502,1996-04-15,1996-04-15,E107590,36318,Schwalmtal,0,0.0,0.0,EUR,GER100003
BT103509,1996-04-16,1996-04-18,E107590,36286,Neuenstein,2,0.0,59.09,EUR,GER100003
BT103513,1996-04-17,1996-04-19,E107601,36217,Ronshausen,2,0.0,50.66,EUR,GER100003
BT103515,1996-04-17,1996-04-18,E107601,36217,Ronshausen,1,0.0,28.98,EUR,GER100003
BT103519,1996-04-18,1996-04-22,E107590,36318,Schwalmtal,4,0.0,129.14,EUR,GER100003
BT103523,1996-04-18,1996-04-21,E107590,36287,Breitenbach,3,0.0,72.31,EUR,GER100003
BT103527,1996-04-19,1996-04-21,E107590,36284,Hohenroda,2,0.0,50.3,EUR,GER100003
BT103532,1996-04-20,1996-04-21,E107601,36266,Heringen,1,0.0,31.75,EUR,GER100003
BT103535,1996-04-20,1996-04-22,E107590,36286,Neuenstein,2,0.0,61.19,EUR,GER100003
BT103537,1996-04-20,1996-04-23,E107590,36284,Hohenroda,3,0.0,107.29,EUR,GER100003
BT103538,1996-04-21,1996-04-24,E107601,36217,Ronshausen,3,0.0,98.26,EUR,GER100003
BT103540,1996-04-21,1996-04-26,E107601,36251,Bad Hersfeld,5,0.0,175.61,EUR,GER100003
BT103541,1996-04-21,1996-04-25,E107590,36287,Breitenbach,4,0.0,125.73,EUR,GER100003
BT103549,1996-04-22,1996-04-24,E107590,36318,Schwalmtal,2,0.0,57.87,EUR,GER100003
BT103553,1996-04-23,1996-04-27,E107590,36284,Hohenroda,4,0.0,97.97,EUR,GER100003
BT103558,1996-04-26,1996-04-27,E107601,36266,Heringen,1,0.0,35.5,EUR,GER100003
BT103565,1996-04-26,1996-04-27,E107601,36272,Niederaula,1,0.0,34.38,EUR,GER100003
BT103569,1996-04-28,1996-04-29,E107601,36251,Bad Hersfeld,1,0.0,25.56,EUR,GER100003
BT103570,1996-04-29,1996-04-30,E107590,36286,Neuenstein,1,0.0,27.97,EUR,GER100003
BT103571,1996-04-30,1996-05-03,E107601,36251,Bad Hersfeld,3,0.0,88.31,EUR,GER100003
BT103576,1996-05-01,1996-05-01,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103577,1996-05-01,1996-05-03,E107590,36304,Alsfeld,2,0.0,60.57,EUR,GER100003
BT103580,1996-05-02,1996-05-02,E107601,36266,Heringen,0,0.0,0.0,EUR,GER100003
BT103588,1996-05-02,1996-05-07,E107601,36251,Bad Hersfeld,5,0.0,153.89,EUR,GER100003
BT103596,1996-05-02,1996-05-03,E107590,36286,Neuenstein,1,0.0,26.34,EUR,GER100003
BT103602,1996-05-03,1996-05-06,E107601,36272,Niederaula,3,0.0,81.14,EUR,GER100003
BT103607,1996-05-04,1996-05-08,E107601,36251,Bad Hersfeld,4,0.0,120.15,EUR,GER100003
BT103609,1996-05-04,1996-05-04,E107590,36318,Schwalmtal,0,0.0,0.0,EUR,GER100003
BT103614,1996-05-06,1996-05-09,E107590,36287,Breitenbach,3,0.0,102.24,EUR,GER100003
BT103622,1996-05-09,1996-05-13,E107601,36251,Bad Hersfeld,4,0.0,100.59,EUR,GER100003
BT103623,1996-05-10,1996-05-14,E107590,36318,Schwalmtal,4,0.0,137.79,EUR,GER100003
BT103631,1996-05-11,1996-05-11,E107601,36251,Bad Hersfeld,0,0.0,0.0,EUR,GER100003
BT103635,1996-05-11,1996-05-15,E107590,36289,Friedewald,4,0.0,112.68,EUR,GER100003
BT103638,1996-05-11,1996-05-14,E107590,36318,Schwalmtal,3,0.0,89.1,EUR,GER100003
BT103646,1996-05-13,1996-05-15,E107590,36284,Hohenroda,2,0.0,68.66,EUR,GER100003
BT103650,1996-05-14,1996-05-17,E107590,36318,Schwalmtal,3,0.0,106.64,EUR,GER100003
BT103654,1996-05-15,1996-05-20,E107601,36217,Ronshausen,5,0.0,138.39,EUR,GER100003
BT103657,1996-05-16,1996-05-21,E107601,36266,Heringen,5,0.0,179.58,EUR,GER100003
BT103660,1996-05-16,1996-05-17,E107590,36286,Neuenstein,1,0.0,24.93,EUR,GER100003
BT103663,1996-05-17,1996-05-17,E107601,36251,Bad Hersfeld,0,0.0,0.0,EUR,GER100003
BT103670,1996-05-17,1996-05-17,E107590,36318,Schwalmtal,0,0.0,0.0,EUR,GER100003
BT103671,1996-05-18,1996-05-23,E107590,36289,Friedewald,5,0.0,167.8,EUR,GER100003
BT103679,1996-05-21,1996-05-22,E107601,36266,Heringen,1,0.0,34.62,EUR,GER100003
BT103681,1996-05-21,1996-05-26,E107601,36251,Bad Hersfeld,5,0.0,163.3,EUR,GER100003
BT103684,1996-05-21,1996-05-21,E107623,36272,Niederaula,0,0.0,0.0,EUR,GER100003
BT103686,1996-05-21,1996-05-26,E107590,36286,Neuenstein,5,0.0,140.4,EUR,GER100003
BT103693,1996-05-23,1996-05-25,E107590,36286,Neuenstein,2,0.0,55.13,EUR,GER100003
BT103697,1996-05-24,1996-05-25,E107601,36272,Niederaula,1,0.0,25.21,EUR,GER100003
BT103704,1996-05-24,1996-05-24,E107590,36289,Friedewald,0,0.0,0.0,EUR,GER100003
BT103705,1996-05-26,1996-05-31,E107623,36275,Kirchheim,5,0.0,125.17,EUR,GER100003
BT103710,1996-05-27,1996-05-30,E107623,36275,Kirchheim,3,0.0,106.4,EUR,GER100003
BT103716,1996-05-28,1996-05-29,E107601,36272,Niederaula,1,0.0,30.59,EUR,GER100003
BT103720,1996-05-28,1996-05-29,E107590,36286,Neuenstein,1,0.0,33.12,EUR,GER100003
BT103728,1996-05-29,1996-06-03,E107601,36269,Philippsthal,5,0.0,154.52,EUR,GER100003
BT103735,1996-05-31,1996-06-02,E107601,36272,Niederaula,2,0.0,70.12,EUR,GER100003
BT103736,1996-05-31,1996-06-05,E107623,36280,Oberaula,5,0.0,150.39,EUR,GER100003
BT103740,1996-05-31,1996-06-03,E107623,36272,Niederaula,3,0.0,97.07,EUR,GER100003
BT103746,1996-06-01,1996-06-06,E107601,36269,Philippsthal,5,0.0,150.62,EUR,GER100003
BT103750,1996-06-01,1996-06-02,E107623,36282,Hauneck,1,0.0,34.49,EUR,GER100003
BT103754,1996-06-02,1996-06-07,E107623,36280,Oberaula,5,0.0,152.38,EUR,GER100003
BT103761,1996-06-02,1996-06-07,E107623,36282,Hauneck,5,0.0,138.31,EUR,GER100003
BT103768,1996-06-03,1996-06-06,E107601,36217,Ronshausen,3,0.0,96.6,EUR,GER100003
BT103774,1996-06-03,1996-06-07,E107623,36284,Hohenroda,4,0.0,114.84,EUR,GER100003
BT103779,1996-06-03,1996-06-03,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103782,1996-06-03,1996-06-08,E107590,36289,Friedewald,5,0.0,124.59,EUR,GER100003
BT103787,1996-06-03,1996-06-03,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103788,1996-06-04,1996-06-08,E107590,36304,Alsfeld,4,0.0,142.36,EUR,GER100003
BT103796,1996-06-05,1996-06-07,E107601,36269,Philippsthal,2,0.0,54.64,EUR,GER100003
BT103797,1996-06-07,1996-06-07,E107601,36219,Cornberg,0,0.0,0.0,EUR,GER100003
BT103798,1996-06-08,1996-06-08,E107601,36266,Heringen,0,0.0,0.0,EUR,GER100003
BT103800,1996-06-08,1996-06-08,E107601,36219,Cornberg,0,0.0,0.0,EUR,GER100003
BT103806,1996-06-08,1996-06-10,E107623,36280,Oberaula,2,0.0,53.79,EUR,GER100003
BT103812,1996-06-08,1996-06-09,E107623,36282,Hauneck,1,0.0,30.01,EUR,GER100003
BT103816,1996-06-08,1996-06-13,E107623,36284,Hohenroda,5,0.0,128.11,EUR,GER100003
BT103819,1996-06-08,1996-06-09,E107590,36304,Alsfeld,1,0.0,31.42,EUR,GER100003
BT103827,1996-06-10,1996-06-12,E107623,36272,Niederaula,2,0.0,71.75,EUR,GER100003
BT103831,1996-06-10,1996-06-15,E107590,36304,Alsfeld,5,0.0,161.46,EUR,GER100003
BT103832,1996-06-11,1996-06-15,E107623,36282,Hauneck,4,0.0,133.04,EUR,GER100003
BT103837,1996-06-11,1996-06-15,E107623,36280,Oberaula,4,0.0,125.9,EUR,GER100003
BT103841,1996-06-12,1996-06-12,E107590,36304,Alsfeld,0,0.0,0.0,EUR,GER100003
BT103843,1996-06-13,1996-06-16,E107601,36266,Heringen,3,0.0,106.02,EUR,GER100003
BT103845,1996-06-14,1996-06-15,E107623,36275,Kirchheim,1,0.0,27.46,EUR,GER100003
BT103851,1996-06-16,1996-06-19,E107601,36272,Niederaula,3,0.0,103.74,EUR,GER100003
BT103852,1996-06-16,1996-06-19,E107623,36280,Oberaula,3,0.0,72.14,EUR,GER100003
BT103856,1996-06-17,1996-06-22,E107601,36266,Heringen,5,0.0,130.7,EUR,GER100003
BT103859,1996-06-17,1996-06-22,E107623,36284,Hohenroda,5,0.0,128.35,EUR,GER100003
BT103860,1996-06-17,1996-06-20,E107590,36284,Hohenroda,3,0.0,75.87,EUR,GER100003
BT103863,1996-06-20,1996-06-22,E107601,36251,Bad Hersfeld,2,0.0,54.93,EUR,GER100003
BT103871,1996-06-20,1996-06-23,E107590,36286,Neuenstein,3,0.0,105.49,EUR,GER100003
BT103877,1996-06-21,1996-06-22,E107623,36284,Hohenroda,1,0.0,25.72,EUR,GER100003
BT103880,1996-06-24,1996-06-28,E107623,36272,Niederaula,4,0.0,113.96,EUR,GER100003
BT103888,1996-06-24,1996-06-24,E107590,36287,Breitenbach,0,0.0,0.0,EUR,GER100003
BT103889,1996-06-26,1996-06-27,E107590,36289,Friedewald,1,0.0,35.0,EUR,GER100003
BT103894,1996-06-26,1996-06-30,E107590,36289,Friedewald,4,0.0,128.02,EUR,GER100003
BT103900,1996-06-27,1996-06-29,E107601,36217,Ronshausen,2,0.0,69.0,EUR,GER100003
BT103908,1996-06-28,1996-06-28,E107590,36284,Hohenroda,0,0.0,0.0,EUR,GER100003
BT103915,1996-06-29,1996-07-01,E107601,36219,Cornberg,2,0.0,69.93,EUR,GER100003
BT103917,1996-06-29,1996-07-03,E107623,36277,Schenklengsfeld,4,0.0,113.45,EUR,GER100003
BT103921,1996-06-29,1996-06-30,E107590,36289,Friedewald,1,0.0,25.05,EUR,GER100003
BT103922,1996-07-01,1996-07-05,E107601,36217,Ronshausen,4,0.0,127.06,EUR,GER100003
BT103925,1996-07-01,1996-07-04,E107601,36219,Cornberg,3,0.0,78.6,EUR,GER100003
BT103931,1996-07-02,1996-07-02,E107601,36272,Niederaula,0,0.0,0.0,EUR,GER100003
BT103933,1996-07-02,1996-07-03,E107601,36219,Cornberg,1,0.0,28.19,EUR,GER100003
BT103939,1996-07-02,1996-07-03,E107623,36282,Hauneck,1,0.0,26.56,EUR,GER100003
BT103946,1996-07-03,1996-07-07,E107623,36275,Kirchheim,4,0.0,126.83,EUR,GER100003
BT103949,1996-07-03,1996-07-07,E107623,36284,Hohenroda,4,0.0,120.12,EUR,GER100003
BT103951,1996-07-04,1996-07-07,E107623,36280,Oberaula,3,0.0,107.92,EUR,GER100003
BT103952,1996-07-05,1996-07-09,E107601,36269,Philippsthal,4,0.0,126.61,EUR,GER100003
BT103956,1996-07-05,1996-07-08,E107601,36217,Ronshausen,3,0.0,81.64,EUR,GER100003
BT103964,1996-07-06,1996-07-06,E107601,36217,Ronshausen,0,0.0,0.0,EUR,GER100003
BT103969,1996-07-06,1996-07-11,E107601,36219,Cornberg,5,0.0,143.68,EUR,GER100003
BT103970,1996-07-06,1996-07-10,E107623,36284,Hohenroda,4,0.0,120.55,EUR,GER100003
BT103977,1996-07-07,1996-07-09,E107623,36275,Kirchheim,2,0.0,51.64,EUR,GER100003
BT103981,1996-07-07,1996-07-09,E107623,36284,Hohenroda,2,0.0,49.14,EUR,GER100003
BT103983,1996-07-07,1996-07-11,E107623,36277,Schenklengsfeld,4,0.0,107.23,EUR,GER100003
BT103989,1996-07-08,1996-07-08,E107623,36280,Oberaula,0,0.0,0.0,EUR,GER100003
BT103990,1996-07-09,1996-07-12,E107623,36280,Oberaula,3,0.0,91.67,EUR,GER100003
BT103998,1996-07-10,1996-07-15,E107623,36272,Niederaula,5,0.0,165.64,EUR,GER100003
BT104000,1996-07-12,1996-07-12,E107601,36219,Cornberg,0,0.0,0.0,EUR,GER100003
BT104002,1996-07-13,1996-07-15,E107601,36269,Philippsthal,2,0.0,59.32,EUR,GER100003
BT104009,1996-07-13,1996-07-14,E107590,36304,Alsfeld,1,0.0,32.58,EUR,GER100003
BT104011,1996-07-15,1996-07-17,E107623,36280,Oberaula,2,0.0,53.77,EUR,GER100003
BT104019,1996-07-15,1996-07-19,E107623,36277,Schenklengsfeld,4,0.0,138.68,EUR,GER100003
BT104026,1996-07-15,1996-07-19,E107623,36272,Niederaula,4,0.0,132.15,EUR,GER100003
BT104032,1996-07-17,1996-07-19,E107601,36251,Bad Hersfeld,2,0.0,48.45,EUR,GER100003
BT104035,1996-07-17,1996-07-19,E107623,36275,Kirchheim,2,0.0,58.0,EUR,GER100003
BT104036,1996-07-18,1996-07-20,E107601,36219,Cornberg,2,0.0,61.04,EUR,GER100003
BT104041,1996-07-18,1996-07-21,E107590,36284,Hohenroda,3,0.0,83.77,EUR,GER100003
BT104043,1996-07-18,1996-07-22,E107590,36289,Friedewald,4,0.0,130.0,EUR,GER100003
BT104046,1996-07-19,1996-07-23,E107623,36284,Hohenroda,4,0.0,128.9,EUR,GER100003
BT104051,1996-07-19,1996-07-24,E107590,36286,Neuenstein,5,0.0,135.15,EUR,GER100003
BT104057,1996-07-20,1996-07-20,E107623,36272,Niederaula,0,0.0,0.0,EUR,GER100003
BT104065,1996-07-20,1996-07-20,E107623,36282,Hauneck,0,0.0,0.0,EUR,GER100003
BT104069,1996-07-21,1996-07-21,E107601,36251,Bad Hersfeld,0,0.0,0.0,EUR,GER100003
BT104074,1996-07-21,1996-07-26,E107601,36251,Bad Hersfeld,5,0.0,171.06,EUR,GER100003
BT104080,1996-07-21,1996-07-22,E107590,36318,Schwalmtal,1,0.0,24.82,EUR,GER100003
BT104085,1996-07-23,1996-07-28,E107601,36217,Ronshausen,5,0.0,171.81,EUR,GER100003
BT104087,1996-07-23,1996-07-27,E107601,36269,Philippsthal,4,0.0,115.91,EUR,GER100003
BT104092,1996-07-23,1996-07-28,E107623,36275,Kirchheim,5,0.0,159.24,EUR,GER100003
BT104094,1996-07-23,1996-07-28,E107590,36287,Breitenbach,5,0.0,133.58,EUR,GER100003
BT104101,1996-07-24,1996-07-24,E107590,36286,Neuenstein,0,0.0,0.0,EUR,GER100003
BT104108,1996-07-25,1996-07-28,E107590,36286,Neuenstein,3,0.0,97.45,EUR,GER100003
BT104113,1996-07-25,1996-07-26,E107590,36289,Friedewald,1,0.0,31.75,EUR,GER100003
BT104119,1996-07-26,1996-07-30,E107601,36251,Bad Hersfeld,4,0.0,106.99,EUR,GER100003
BT104123,1996-07-26,1996-07-27,E107590,36287,Breitenbach,1,0.0,25.1,EUR,GER100003
