Dest_PC,Dest_City,Dest,Response Garbsen,Response Hannover,ResponseModGarbsen,ResponseModHannover,DistanceGarbsen,DurationGarbsen,DistanceHannover,DurationHannover,Garbsen_minutes,Hannover_minutes
56357,Marienfels,56357%2C%20Marienfels,"{
   ""destination_addresses"" : [ ""56357 Marienfels, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""401 km"",
                  ""value"" : 400570
               },
               ""duration"" : {
                  ""text"" : ""4 hours 25 mins"",
                  ""value"" : 15903
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56357 Marienfels, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""407 km"",
                  ""value"" : 407295
               },
               ""duration"" : {
                  ""text"" : ""4 hours 33 mins"",
                  ""value"" : 16371
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56357 Marienfels, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '401 km', 'value': 400570}, 'duration': {'text': '4 hours 25 mins', 'value': 15903}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56357 Marienfels, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '407 km', 'value': 407295}, 'duration': {'text': '4 hours 33 mins', 'value': 16371}, 'status': 'OK'}]}], 'status': 'OK'}",401 km,4 hours 25 mins,407 km,4 hours 33 mins,265,273
49545,Tecklenburg,49545%2C%20Tecklenburg,"{
   ""destination_addresses"" : [ ""49545 Tecklenburg, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""149 km"",
                  ""value"" : 149229
               },
               ""duration"" : {
                  ""text"" : ""1 hour 38 mins"",
                  ""value"" : 5861
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""49545 Tecklenburg, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""156 km"",
                  ""value"" : 155955
               },
               ""duration"" : {
                  ""text"" : ""1 hour 45 mins"",
                  ""value"" : 6329
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['49545 Tecklenburg, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '149 km', 'value': 149229}, 'duration': {'text': '1 hour 38 mins', 'value': 5861}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['49545 Tecklenburg, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '156 km', 'value': 155955}, 'duration': {'text': '1 hour 45 mins', 'value': 6329}, 'status': 'OK'}]}], 'status': 'OK'}",149 km,1 hour 38 mins,156 km,1 hour 45 mins,98,105
31028,Gronau,31028%2C%20Gronau,"{
   ""destination_addresses"" : [ ""31028 Gronau (Leine), Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""49.8 km"",
                  ""value"" : 49767
               },
               ""duration"" : {
                  ""text"" : ""51 mins"",
                  ""value"" : 3043
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""31028 Gronau (Leine), Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""40.3 km"",
                  ""value"" : 40312
               },
               ""duration"" : {
                  ""text"" : ""44 mins"",
                  ""value"" : 2613
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['31028 Gronau (Leine), Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '49.8 km', 'value': 49767}, 'duration': {'text': '51 mins', 'value': 3043}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['31028 Gronau (Leine), Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '40.3 km', 'value': 40312}, 'duration': {'text': '44 mins', 'value': 2613}, 'status': 'OK'}]}], 'status': 'OK'}",49.8 km,51 mins,40.3 km,44 mins,51,44
54673,Machtemesmühle,54673%2C%20Machtemesmühle,"{
   ""destination_addresses"" : [
      ""Campingplatz \""Machtemesm\u00fchle\"", Hauptstra\u00dfe, 54673 Rodershausen, Germany""
   ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""420 km"",
                  ""value"" : 419941
               },
               ""duration"" : {
                  ""text"" : ""4 hours 37 mins"",
                  ""value"" : 16614
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [
      ""Campingplatz \""Machtemesm\u00fchle\"", Hauptstra\u00dfe, 54673 Rodershausen, Germany""
   ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""427 km"",
                  ""value"" : 426666
               },
               ""duration"" : {
                  ""text"" : ""4 hours 45 mins"",
                  ""value"" : 17082
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Campingplatz ""Machtemesmühle"", Hauptstraße, 54673 Rodershausen, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '420 km', 'value': 419941}, 'duration': {'text': '4 hours 37 mins', 'value': 16614}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Campingplatz ""Machtemesmühle"", Hauptstraße, 54673 Rodershausen, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '427 km', 'value': 426666}, 'duration': {'text': '4 hours 45 mins', 'value': 17082}, 'status': 'OK'}]}], 'status': 'OK'}",420 km,4 hours 37 mins,427 km,4 hours 45 mins,277,285
57629,Malberg,57629%2C%20Malberg,"{
   ""destination_addresses"" : [ ""57629 Malberg, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""312 km"",
                  ""value"" : 312294
               },
               ""duration"" : {
                  ""text"" : ""3 hours 48 mins"",
                  ""value"" : 13680
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""57629 Malberg, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""319 km"",
                  ""value"" : 319020
               },
               ""duration"" : {
                  ""text"" : ""3 hours 56 mins"",
                  ""value"" : 14148
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['57629 Malberg, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '312 km', 'value': 312294}, 'duration': {'text': '3 hours 48 mins', 'value': 13680}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['57629 Malberg, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '319 km', 'value': 319020}, 'duration': {'text': '3 hours 56 mins', 'value': 14148}, 'status': 'OK'}]}], 'status': 'OK'}",312 km,3 hours 48 mins,319 km,3 hours 56 mins,228,236
56414,Dreikirchen,56414%2C%20Dreikirchen,"{
   ""destination_addresses"" : [ ""56414 Dreikirchen, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""380 km"",
                  ""value"" : 380127
               },
               ""duration"" : {
                  ""text"" : ""4 hours 1 min"",
                  ""value"" : 14430
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56414 Dreikirchen, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""387 km"",
                  ""value"" : 386853
               },
               ""duration"" : {
                  ""text"" : ""4 hours 8 mins"",
                  ""value"" : 14898
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56414 Dreikirchen, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '380 km', 'value': 380127}, 'duration': {'text': '4 hours 1 min', 'value': 14430}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56414 Dreikirchen, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '387 km', 'value': 386853}, 'duration': {'text': '4 hours 8 mins', 'value': 14898}, 'status': 'OK'}]}], 'status': 'OK'}",380 km,4 hours 1 min,387 km,4 hours 8 mins,241,248
56130,Altes Forsthaus,56130%2C%20Altes Forsthaus,"{
   ""destination_addresses"" : [ ""56130 Bad Ems, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""387 km"",
                  ""value"" : 387368
               },
               ""duration"" : {
                  ""text"" : ""4 hours 8 mins"",
                  ""value"" : 14860
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56130 Bad Ems, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""394 km"",
                  ""value"" : 394093
               },
               ""duration"" : {
                  ""text"" : ""4 hours 15 mins"",
                  ""value"" : 15328
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56130 Bad Ems, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '387 km', 'value': 387368}, 'duration': {'text': '4 hours 8 mins', 'value': 14860}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56130 Bad Ems, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '394 km', 'value': 394093}, 'duration': {'text': '4 hours 15 mins', 'value': 15328}, 'status': 'OK'}]}], 'status': 'OK'}",387 km,4 hours 8 mins,394 km,4 hours 15 mins,248,255
56244,Rückeroth,56244%2C%20Rückeroth,"{
   ""destination_addresses"" : [ ""56244 R\u00fcckeroth, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""361 km"",
                  ""value"" : 361458
               },
               ""duration"" : {
                  ""text"" : ""3 hours 50 mins"",
                  ""value"" : 13829
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56244 R\u00fcckeroth, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""368 km"",
                  ""value"" : 368183
               },
               ""duration"" : {
                  ""text"" : ""3 hours 58 mins"",
                  ""value"" : 14297
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56244 Rückeroth, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '361 km', 'value': 361458}, 'duration': {'text': '3 hours 50 mins', 'value': 13829}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56244 Rückeroth, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '368 km', 'value': 368183}, 'duration': {'text': '3 hours 58 mins', 'value': 14297}, 'status': 'OK'}]}], 'status': 'OK'}",361 km,3 hours 50 mins,368 km,3 hours 58 mins,230,238
54538,Kinderbeuern,54538%2C%20Kinderbeuern,"{
   ""destination_addresses"" : [ ""54538 Kinderbeuern, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""417 km"",
                  ""value"" : 417317
               },
               ""duration"" : {
                  ""text"" : ""4 hours 36 mins"",
                  ""value"" : 16570
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""54538 Kinderbeuern, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""424 km"",
                  ""value"" : 424042
               },
               ""duration"" : {
                  ""text"" : ""4 hours 44 mins"",
                  ""value"" : 17038
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['54538 Kinderbeuern, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '417 km', 'value': 417317}, 'duration': {'text': '4 hours 36 mins', 'value': 16570}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['54538 Kinderbeuern, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '424 km', 'value': 424042}, 'duration': {'text': '4 hours 44 mins', 'value': 17038}, 'status': 'OK'}]}], 'status': 'OK'}",417 km,4 hours 36 mins,424 km,4 hours 44 mins,276,284
49762,Renkenberge,49762%2C%20Renkenberge,"{
   ""destination_addresses"" : [ ""49762 Renkenberge, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""266 km"",
                  ""value"" : 266451
               },
               ""duration"" : {
                  ""text"" : ""2 hours 46 mins"",
                  ""value"" : 9940
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""49762 Renkenberge, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""240 km"",
                  ""value"" : 239931
               },
               ""duration"" : {
                  ""text"" : ""2 hours 51 mins"",
                  ""value"" : 10269
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['49762 Renkenberge, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '266 km', 'value': 266451}, 'duration': {'text': '2 hours 46 mins', 'value': 9940}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['49762 Renkenberge, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '240 km', 'value': 239931}, 'duration': {'text': '2 hours 51 mins', 'value': 10269}, 'status': 'OK'}]}], 'status': 'OK'}",266 km,2 hours 46 mins,240 km,2 hours 51 mins,166,171
56237,Oberhaid,56237%2C%20Oberhaid,"{
   ""destination_addresses"" : [ ""56237 Oberhaid, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""366 km"",
                  ""value"" : 365952
               },
               ""duration"" : {
                  ""text"" : ""3 hours 51 mins"",
                  ""value"" : 13877
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56237 Oberhaid, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""373 km"",
                  ""value"" : 372677
               },
               ""duration"" : {
                  ""text"" : ""3 hours 59 mins"",
                  ""value"" : 14345
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56237 Oberhaid, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '366 km', 'value': 365952}, 'duration': {'text': '3 hours 51 mins', 'value': 13877}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56237 Oberhaid, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '373 km', 'value': 372677}, 'duration': {'text': '3 hours 59 mins', 'value': 14345}, 'status': 'OK'}]}], 'status': 'OK'}",366 km,3 hours 51 mins,373 km,3 hours 59 mins,231,239
56424,Staudt,56424%2C%20Staudt,"{
   ""destination_addresses"" : [ ""Staudt, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""373 km"",
                  ""value"" : 372962
               },
               ""duration"" : {
                  ""text"" : ""3 hours 54 mins"",
                  ""value"" : 14043
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""Staudt, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""380 km"",
                  ""value"" : 379687
               },
               ""duration"" : {
                  ""text"" : ""4 hours 2 mins"",
                  ""value"" : 14511
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['Staudt, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '373 km', 'value': 372962}, 'duration': {'text': '3 hours 54 mins', 'value': 14043}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['Staudt, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '380 km', 'value': 379687}, 'duration': {'text': '4 hours 2 mins', 'value': 14511}, 'status': 'OK'}]}], 'status': 'OK'}",373 km,3 hours 54 mins,380 km,4 hours 2 mins,234,242
38461,Danndorf,38461%2C%20Danndorf,"{
   ""destination_addresses"" : [ ""38461 Danndorf, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""108 km"",
                  ""value"" : 107605
               },
               ""duration"" : {
                  ""text"" : ""1 hour 20 mins"",
                  ""value"" : 4809
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""38461 Danndorf, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""98.5 km"",
                  ""value"" : 98452
               },
               ""duration"" : {
                  ""text"" : ""1 hour 23 mins"",
                  ""value"" : 4951
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['38461 Danndorf, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '108 km', 'value': 107605}, 'duration': {'text': '1 hour 20 mins', 'value': 4809}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['38461 Danndorf, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '98.5 km', 'value': 98452}, 'duration': {'text': '1 hour 23 mins', 'value': 4951}, 'status': 'OK'}]}], 'status': 'OK'}",108 km,1 hour 20 mins,98.5 km,1 hour 23 mins,80,83
54552,Dockweiler,54552%2C%20Dockweiler,"{
   ""destination_addresses"" : [ ""54552 Dockweiler, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""380 km"",
                  ""value"" : 380017
               },
               ""duration"" : {
                  ""text"" : ""4 hours 7 mins"",
                  ""value"" : 14813
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""54552 Dockweiler, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""387 km"",
                  ""value"" : 386742
               },
               ""duration"" : {
                  ""text"" : ""4 hours 15 mins"",
                  ""value"" : 15280
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['54552 Dockweiler, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '380 km', 'value': 380017}, 'duration': {'text': '4 hours 7 mins', 'value': 14813}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['54552 Dockweiler, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '387 km', 'value': 386742}, 'duration': {'text': '4 hours 15 mins', 'value': 15280}, 'status': 'OK'}]}], 'status': 'OK'}",380 km,4 hours 7 mins,387 km,4 hours 15 mins,247,255
56422,Wirges,56422%2C%20Wirges,"{
   ""destination_addresses"" : [ ""56422 Wirges, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""367 km"",
                  ""value"" : 366753
               },
               ""duration"" : {
                  ""text"" : ""3 hours 53 mins"",
                  ""value"" : 14000
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""56422 Wirges, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""373 km"",
                  ""value"" : 373478
               },
               ""duration"" : {
                  ""text"" : ""4 hours 1 min"",
                  ""value"" : 14468
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['56422 Wirges, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '367 km', 'value': 366753}, 'duration': {'text': '3 hours 53 mins', 'value': 14000}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['56422 Wirges, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '373 km', 'value': 373478}, 'duration': {'text': '4 hours 1 min', 'value': 14468}, 'status': 'OK'}]}], 'status': 'OK'}",367 km,3 hours 53 mins,373 km,4 hours 1 min,233,241
37691,Boffzen,37691%2C%20Boffzen,"{
   ""destination_addresses"" : [ ""37691 Boffzen, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""104 km"",
                  ""value"" : 103732
               },
               ""duration"" : {
                  ""text"" : ""1 hour 42 mins"",
                  ""value"" : 6126
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""37691 Boffzen, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""94.3 km"",
                  ""value"" : 94276
               },
               ""duration"" : {
                  ""text"" : ""1 hour 35 mins"",
                  ""value"" : 5696
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37691 Boffzen, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '104 km', 'value': 103732}, 'duration': {'text': '1 hour 42 mins', 'value': 6126}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['37691 Boffzen, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '94.3 km', 'value': 94276}, 'duration': {'text': '1 hour 35 mins', 'value': 5696}, 'status': 'OK'}]}], 'status': 'OK'}",104 km,1 hour 42 mins,94.3 km,1 hour 35 mins,102,95
37124,Rosdorf,37124%2C%20Rosdorf,"{
   ""destination_addresses"" : [ ""37124 Rosdorf, Germany"" ],
   ""origin_addresses"" : [ ""Garbsen, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""145 km"",
                  ""value"" : 145293
               },
               ""duration"" : {
                  ""text"" : ""1 hour 41 mins"",
                  ""value"" : 6060
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{
   ""destination_addresses"" : [ ""37124 Rosdorf, Germany"" ],
   ""origin_addresses"" : [ ""Hanover, Germany"" ],
   ""rows"" : [
      {
         ""elements"" : [
            {
               ""distance"" : {
                  ""text"" : ""127 km"",
                  ""value"" : 126512
               },
               ""duration"" : {
                  ""text"" : ""1 hour 36 mins"",
                  ""value"" : 5784
               },
               ""status"" : ""OK""
            }
         ]
      }
   ],
   ""status"" : ""OK""
}
","{'destination_addresses': ['37124 Rosdorf, Germany'], 'origin_addresses': ['Garbsen, Germany'], 'rows': [{'elements': [{'distance': {'text': '145 km', 'value': 145293}, 'duration': {'text': '1 hour 41 mins', 'value': 6060}, 'status': 'OK'}]}], 'status': 'OK'}","{'destination_addresses': ['37124 Rosdorf, Germany'], 'origin_addresses': ['Hanover, Germany'], 'rows': [{'elements': [{'distance': {'text': '127 km', 'value': 126512}, 'duration': {'text': '1 hour 36 mins', 'value': 5784}, 'status': 'OK'}]}], 'status': 'OK'}",145 km,1 hour 41 mins,127 km,1 hour 36 mins,101,96
